,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4
640,3393,354,149,3655,387,55,2,369
641,3214,359,256,3595,458,56,0,327
642,3111,384,613,3173,505,59,55,248
643,3175,348,611,2884,526,57,0,171
644,3184,347,615,2951,525,54,44,156
645,3187,348,592,3024,512,58,68,150
646,3168,350,490,3194,495,61,78,153
647,3167,444,290,3438,458,61,44,170
648,3217,533,346,3506,413,55,40,206
649,3184,511,612,3226,445,57,76,181
650,3201,485,587,2997,472,56,89,149
651,3216,241,609,2896,511,58,90,106
652,3190,0,576,2683,535,57,125,99
653,3214,0,603,2736,545,57,159,74
654,3104,0,614,2677,561,56,209,73
655,3007,0,242,2319,730,55,248,216
656,3225,0,610,3034,726,55,0,396
657,3516,0,206,3448,267,57,6,644
658,3546,0,233,3467,324,57,0,658
659,3596,0,205,3495,299,56,0,671
660,3595,0,175,3505,264,59,0,671
661,3621,0,219,3523,240,59,0,673
662,3630,0,105,3525,214,50,0,672
663,3609,0,0,3517,281,51,0,676
664,3580,0,135,3520,321,60,3,676
665,3555,0,158,3530,327,59,3,677
666,3562,0,0,3550,334,50,2,685
667,3360,0,0,3531,211,51,0,688
668,3343,0,310,3568,406,48,1,677
669,3542,0,0,3571,489,50,3,690
670,3575,0,0,3565,472,47,2,688
671,3632,0,0,3613,470,50,1,686
672,3677,0,0,3600,474,48,3,679
673,3689,0,0,3581,517,51,3,680
674,3728,0,160,3599,494,52,3,677
675,3737,0,0,3583,489,51,3,682
676,3751,0,0,3569,411,49,1,680
677,3760,0,0,3572,458,49,4,682
678,3750,0,0,3581,471,50,4,686
679,3739,0,0,3574,451,50,2,685
680,3727,0,0,3576,469,51,2,688
681,3711,0,0,3582,453,49,2,686
682,3726,0,0,3579,404,52,2,683
683,3728,0,147,3582,395,51,2,667
684,3733,0,0,3583,421,51,2,673
685,3722,0,103,3574,462,52,5,680
686,3709,0,0,3571,489,51,2,693
687,3695,0,266,3582,474,52,1,692
688,3703,0,147,3595,473,52,0,689
689,3707,0,178,3573,470,52,0,685
690,3726,0,143,3575,461,52,0,690
691,3711,0,274,3571,460,51,0,692
692,3707,0,247,3557,285,51,3,670
693,3641,0,218,3573,299,52,2,667
694,3655,0,447,3551,354,51,7,653
695,3729,0,426,3554,364,51,4,649
696,3764,0,411,3550,350,50,4,650
697,3810,0,290,3551,389,51,5,655
698,3877,0,299,3569,429,53,6,663
699,3882,0,279,3574,453,52,5,667
700,3867,0,270,3583,492,54,5,668
701,3865,0,290,3547,479,54,5,675
702,3825,0,297,3563,418,55,5,661
703,3833,0,133,3567,427,54,5,638
704,1707,0,0,0,0,70,640,718
705,1710,0,0,0,0,70,638,719
706,1702,0,0,0,0,70,641,721
707,1687,0,0,0,0,70,641,718
708,1696,0,0,0,0,71,642,721
709,1702,0,0,0,0,70,642,721
710,1699,0,0,0,0,69,643,721
711,1706,0,0,0,0,67,645,722
712,1705,0,0,0,0,68,646,720
713,1676,0,0,0,0,67,646,723
714,1677,0,0,0,0,68,648,722
715,1678,0,0,0,0,67,652,722
716,1698,0,0,0,0,65,661,718
717,1713,0,0,0,0,66,666,712
